experiment,comparison,first,second,task_id,init_state_index,environment_seed,first_policy_rng_seed,second_policy_rng_seed,policy_rng_batch_size,first_success,second_success,cell,first_steps,second_steps,step_difference_second_minus_first,first_logical_vlm_forwards,second_logical_vlm_forwards,logical_vlm_forward_difference_second_minus_first,actual_vlm_forward_difference_second_minus_first,episode_wall_difference_second_minus_first
C_policy_adaptation,pretrained_vs_expert_only,pretrained,expert_only,5,1,1001,1005,1005,3,False,False,both_fail,280,280,0,28,28,0,,
C_policy_adaptation,pretrained_vs_expert_only,pretrained,expert_only,5,2,1002,1005,1005,3,False,False,both_fail,280,280,0,28,28,0,,
C_policy_adaptation,pretrained_vs_expert_only,pretrained,expert_only,5,3,1003,1003,1003,1,False,False,both_fail,280,280,0,28,28,0,0,2.7525433800001338
C_policy_adaptation,pretrained_vs_expert_only,pretrained,expert_only,5,4,1004,1004,1004,1,False,False,both_fail,280,280,0,28,28,0,0,1.2511793719995694
C_policy_adaptation,pretrained_vs_expert_only,pretrained,expert_only,5,5,1005,1005,1005,1,False,False,both_fail,280,280,0,28,28,0,0,4.265064518000145
C_policy_adaptation,pretrained_vs_expert_only,pretrained,expert_only,5,6,1006,1006,1006,1,False,False,both_fail,280,280,0,28,28,0,0,0.1502805910004099
C_policy_adaptation,pretrained_vs_expert_only,pretrained,expert_only,5,7,1007,1007,1007,1,False,False,both_fail,280,280,0,28,28,0,0,-0.04404320399953576
C_policy_adaptation,pretrained_vs_expert_only,pretrained,expert_only,5,8,1008,1008,1008,1,False,False,both_fail,280,280,0,28,28,0,0,6.43104374900031
C_policy_adaptation,pretrained_vs_expert_only,pretrained,expert_only,5,9,1009,1009,1009,1,False,False,both_fail,280,280,0,28,28,0,0,0.8997875209997801
C_policy_adaptation,pretrained_vs_expert_only,pretrained,expert_only,7,0,1000,1007,1007,3,True,True,both_success,115,112,-3,12,12,0,,
C_policy_adaptation,pretrained_vs_expert_only,pretrained,expert_only,7,1,1001,1007,1007,3,True,True,both_success,116,114,-2,12,12,0,,
C_policy_adaptation,pretrained_vs_expert_only,pretrained,expert_only,7,2,1002,1007,1007,3,True,False,first_only_success,131,280,149,14,28,14,,
C_policy_adaptation,pretrained_vs_expert_only,pretrained,expert_only,7,3,1003,1003,1003,1,True,True,both_success,107,105,-2,11,11,0,0,1.0869071569995867
C_policy_adaptation,pretrained_vs_expert_only,pretrained,expert_only,7,4,1004,1004,1004,1,True,True,both_success,119,120,1,12,12,0,0,1.6418894150001506
C_policy_adaptation,pretrained_vs_expert_only,pretrained,expert_only,7,5,1005,1005,1005,1,True,True,both_success,115,113,-2,12,12,0,0,1.0929589449997366
C_policy_adaptation,pretrained_vs_expert_only,pretrained,expert_only,7,6,1006,1006,1006,1,True,True,both_success,112,108,-4,12,11,-1,-1,0.09000859600018885
C_policy_adaptation,pretrained_vs_expert_only,pretrained,expert_only,7,7,1007,1007,1007,1,True,True,both_success,118,115,-3,12,12,0,0,1.7753416860005018
C_policy_adaptation,pretrained_vs_expert_only,pretrained,expert_only,7,8,1008,1008,1008,1,False,False,both_fail,280,280,0,28,28,0,0,1.2230876940011512
C_policy_adaptation,pretrained_vs_expert_only,pretrained,expert_only,7,9,1009,1009,1009,1,True,True,both_success,120,117,-3,12,12,0,0,0.8742667070000607
