pair_id,condition,benchmark_task_id,init_state_index,metric,pre_mean,pre_sample_std,scale_floor,denominator
task07-init13,arm_actuator_gain_0p5,7,13,pixel_endpoint_mae,9.06229131452499,2.063532537253918,9.062291314524989e-06,2.063532537253918
task08-init05,nominal,8,5,wm_relative_residual,-0.029092092667856524,0.08295677477333371,2.909209266785652e-08,0.08295677477333371
task08-init05,nominal,8,5,wm_action_residual,0.8588156777043496,0.12889750707914552,8.588156777043496e-07,0.12889750707914552
task08-init05,nominal,8,5,no_action_residual,0.8879077703722061,0.14614637252659848,8.879077703722061e-07,0.14614637252659848
task08-init05,nominal,8,5,latent_persistence_motion,1.1487808035266014,0.24329264461013506,1.1487808035266013e-06,0.24329264461013506
task08-init05,nominal,8,5,eef_path_length,0.11595698133591682,0.01357103036338362,1.1595698133591682e-07,0.01357103036338362
task08-init05,nominal,8,5,pixel_endpoint_mae,14.268413113009546,1.6836750830164398,1.4268413113009544e-05,1.6836750830164398
task08-init05,arm_actuator_gain_0p5,8,5,wm_relative_residual,-0.029092092667856524,0.08295677477333371,2.909209266785652e-08,0.08295677477333371
task08-init05,arm_actuator_gain_0p5,8,5,wm_action_residual,0.8588156777043496,0.12889750707914552,8.588156777043496e-07,0.12889750707914552
task08-init05,arm_actuator_gain_0p5,8,5,no_action_residual,0.8879077703722061,0.14614637252659848,8.879077703722061e-07,0.14614637252659848
task08-init05,arm_actuator_gain_0p5,8,5,latent_persistence_motion,1.1487808035266014,0.24329264461013506,1.1487808035266013e-06,0.24329264461013506
task08-init05,arm_actuator_gain_0p5,8,5,eef_path_length,0.11595698133591682,0.01357103036338362,1.1595698133591682e-07,0.01357103036338362
task08-init05,arm_actuator_gain_0p5,8,5,pixel_endpoint_mae,14.268413113009546,1.6836750830164398,1.4268413113009544e-05,1.6836750830164398
task08-init16,nominal,8,16,wm_relative_residual,-0.0009340836155799127,0.0636110065979368,1e-08,0.0636110065979368
task08-init16,nominal,8,16,wm_action_residual,0.744833682813952,0.1268281055350334,7.44833682813952e-07,0.1268281055350334
task08-init16,nominal,8,16,no_action_residual,0.7457677664295319,0.098870812879734,7.457677664295319e-07,0.098870812879734
task08-init16,nominal,8,16,latent_persistence_motion,1.0228310304303323,0.17404631470398296,1.0228310304303322e-06,0.17404631470398296
task08-init16,nominal,8,16,eef_path_length,0.1103298522291645,0.008278537570859891,1.1032985222916449e-07,0.008278537570859891
task08-init16,nominal,8,16,pixel_endpoint_mae,14.049874674889349,1.197245393078737,1.4049874674889348e-05,1.197245393078737
task08-init16,arm_actuator_gain_0p5,8,16,wm_relative_residual,-0.0009340836155799127,0.0636110065979368,1e-08,0.0636110065979368
task08-init16,arm_actuator_gain_0p5,8,16,wm_action_residual,0.744833682813952,0.1268281055350334,7.44833682813952e-07,0.1268281055350334
task08-init16,arm_actuator_gain_0p5,8,16,no_action_residual,0.7457677664295319,0.098870812879734,7.457677664295319e-07,0.098870812879734
task08-init16,arm_actuator_gain_0p5,8,16,latent_persistence_motion,1.0228310304303323,0.17404631470398296,1.0228310304303322e-06,0.17404631470398296
task08-init16,arm_actuator_gain_0p5,8,16,eef_path_length,0.1103298522291645,0.008278537570859891,1.1032985222916449e-07,0.008278537570859891
task08-init16,arm_actuator_gain_0p5,8,16,pixel_endpoint_mae,14.049874674889349,1.197245393078737,1.4049874674889348e-05,1.197245393078737
